subcat_id,category,sub_category,anchors
0,Доступный и комфортный городской транспорт,Решения для метрополитена,метро вагон эскалатор турникеты
1,Доступный и комфортный городской транспорт,Решения для наземного транспорта,автобус трамвай троллейбус 
2,Доступный и комфортный городской транспорт,Решения для обратной связи от горожан и учета их предложений,жалобы предложения идеи инициатива форма приемная интернет-приемная обращение
3,Доступный и комфортный городской транспорт,"Решения для остановочных пунктов, в том числе автономных",остановка обустройство посадочный площадка тротуар
4,Новые виды мобильности,Развитие зарядной инфраструктуры,электротранспорт электропривод хранение электроэнергия аккумулятор батарея самообслуживание зарядка
5,Новые виды мобильности,Решения для водного транспорта,речной трамвай река судно катер
6,Новые виды мобильности,Решения в сфере беспилотного транспорта,роботакси автономный дрон сенсоры лидары адаптивный круиз-контроль
7,Новые виды мобильности,"Развитие автобусных перевозок по требованию: перевозки школьников, экспресс-маршруты до деловых и промышленных кластеров, транспорт последней мили",школьный автобус
8,Безопасность дорожного движения,Решения для прогнозирования и предотвращения ДТП,жертвы погибли контроль ситуация
9,Безопасность дорожного движения,Борьба с превышением скорости,лежачий полицейский шикана
10,Безопасность дорожного движения,Снижение аварийности с участием грузовиков и мотоциклистов,смертность труп авария пострадавшие
11,Безопасность дорожного движения,Оптимизация количества автомобилей такси и каршеринга,прогноз спроса
12,Безопасность дорожного движения,"Снижение наездов на пешеходов вне пешеходных переходов, во дворах и вблизи школ",смерть дети лицей
13,Безопасность дорожного движения,Решения для повышения безопасности пешеходов на дорогах,сбил перекресток
14,Безопасность дорожного движения,Решения по повышению безопасности такси и каршеринга,таксист сбил ребенка
15,Безопасность дорожного движения,"Решения по оптимизации количества автомобилей такси и каршеринга, паркующихся во дворах",придомовая территория дом
16,Здоровые улицы и экология,Решения для развития передвижения на велосипедах и самокатах,велодорожка электросамокат прокат
17,Здоровые улицы и экология,Решения для сбора и реализации предложений граждан по развитию пешеходных перемещений,пешеход
18,Здоровые улицы и экология,"Решения в сфере развития электротранспорта, в том числе по переходу на массовое использование электротранспорта",электробус электромобиль
19,Здоровые улицы и экология,"Решения по мониторингу экологической ситуации: уровень выбросов и загрязнения на дорогах, уровень шума на дорогах, в том числе от конкретных ТС",экология датчик температура мусор
20,Цифровые технологии в транспорте,"Решения по оценке свободных парковочных мест, в том числе неохваченных камерами наблюдения",парковка прогноз
21,Цифровые технологии в транспорте,Информирование о текущей транспортной ситуации для планирования маршрута,пробки
22,Цифровые технологии в транспорте,"Развитие беспилотного транспорта, в том числе беспилотные автобусы, трамваи, поезда метро, беспилотное такси",беспилотник
23,Цифровые технологии в транспорте,Совместные поездки как транспорт последней мили и доставки сотрудников в бизнес-центры за пределами центра города,группы объединение
24,Цифровые технологии в транспорте,Решения по развитию приложения «Московский транспорт» как единого мобильного приложения для планирования и оплаты поездок (MaaS),приложение android iphone
25,Цифровые технологии в транспорте,"Решения для выбора и построения маршрутов (в том числе красивых и где чище воздух), с учетом загруженности общественного транспорта, парковок, пересадок, оценки стоимости поездок",пробки пассажиры подсчет
26,Цифровые технологии в транспорте,"Решения в сфере оплаты разных видов проезда: мультимодальные поездки по подписке, пакеты, персональные тарифы, pay-as-you-go и другие варианты, бонусы и программы лояльности",тройка NFC
27,Цифровые технологии в транспорте,"Решения для развития интеллектуальной транспортной системы, в том числе динамическое управление дорожным движением, видеоаналитика и биометрия, динамическое ценообразование для парковок",AI artificial intelligence computer vision компьютерное зрение симулятор
